grafana  | ✔ Downloaded and extracted grafana-opensearch-datasource v2.24.0 zip successfully to /var/lib/grafana/plugins/grafana-opensearch-datasource
grafana  | logger=migrator t=2025-04-11T12:35:47.949401419Z level=info msg="Executing migration" id="create user table v2"
grafana  | logger=migrator t=2025-04-11T12:35:47.967476544Z level=info msg="Migration successfully executed" id="create user table v2" duration=18.072834ms
grafana  | logger=migrator t=2025-04-11T12:35:48.000379169Z level=info msg="Executing migration" id="create index UQE_user_login - v2"
grafana  | logger=migrator t=2025-04-11T12:35:48.021461378Z level=info msg="Migration successfully executed" id="create index UQE_user_login - v2" duration=21.079833ms
grafana  | logger=migrator t=2025-04-11T12:35:48.051570128Z level=info msg="Executing migration" id="create index UQE_user_email - v2"
grafana  | logger=migrator t=2025-04-11T12:35:48.061496378Z level=info msg="Migration successfully executed" id="create index UQE_user_email - v2" duration=9.925083ms
grafana  | logger=migrator t=2025-04-11T12:35:48.091497253Z level=info msg="Executing migration" id="copy data_source v1 to v2"
grafana  | logger=migrator t=2025-04-11T12:35:48.101189586Z level=info msg="Migration successfully executed" id="copy data_source v1 to v2" duration=9.693417ms
grafana  | logger=migrator t=2025-04-11T12:35:48.127680336Z level=info msg="Executing migration" id="Drop old table user_v1"
grafana  | logger=migrator t=2025-04-11T12:35:48.147368669Z level=info msg="Migration successfully executed" id="Drop old table user_v1" duration=19.694416ms
grafana  | logger=migrator t=2025-04-11T12:35:48.180695836Z level=info msg="Executing migration" id="Add column help_flags1 to user table"
grafana  | logger=migrator t=2025-04-11T12:35:48.194663794Z level=info msg="Migration successfully executed" id="Add column help_flags1 to user table" duration=13.979834ms
grafana  | logger=migrator t=2025-04-11T12:35:48.218643961Z level=info msg="Executing migration" id="Update user table charset"
grafana  | logger=migrator t=2025-04-11T12:35:48.218675503Z level=info msg="Migration successfully executed" id="Update user table charset" duration=33.333µs
grafana  | logger=migrator t=2025-04-11T12:35:48.252755503Z level=info msg="Executing migration" id="Add last_seen_at column to user"
grafana  | logger=migrator t=2025-04-11T12:35:48.263505919Z level=info msg="Migration successfully executed" id="Add last_seen_at column to user" duration=10.749459ms
grafana  | logger=migrator t=2025-04-11T12:35:48.287765836Z level=info msg="Executing migration" id="Add missing user data"
grafana  | logger=migrator t=2025-04-11T12:35:48.288122628Z level=info msg="Migration successfully executed" id="Add missing user data" duration=357.791µs
grafana  | logger=migrator t=2025-04-11T12:35:48.322732211Z level=info msg="Executing migration" id="Add is_disabled column to user"
grafana  | logger=migrator t=2025-04-11T12:35:48.333486753Z level=info msg="Migration successfully executed" id="Add is_disabled column to user" duration=10.753375ms
grafana  | logger=migrator t=2025-04-11T12:35:48.357769794Z level=info msg="Executing migration" id="Add index user.login/user.email"
grafana  | logger=migrator t=2025-04-11T12:35:48.378382128Z level=info msg="Migration successfully executed" id="Add index user.login/user.email" duration=20.610917ms
grafana  | logger=migrator t=2025-04-11T12:35:48.404772919Z level=info msg="Executing migration" id="Add is_service_account column to user"
grafana  | logger=migrator t=2025-04-11T12:35:48.416060503Z level=info msg="Migration successfully executed" id="Add is_service_account column to user" duration=11.287ms
grafana  | logger=migrator t=2025-04-11T12:35:48.442820628Z level=info msg="Executing migration" id="Update is_service_account column to nullable"
grafana  | logger=migrator t=2025-04-11T12:35:48.456033711Z level=info msg="Migration successfully executed" id="Update is_service_account column to nullable" duration=13.212083ms
grafana  | logger=migrator t=2025-04-11T12:35:48.480865003Z level=info msg="Executing migration" id="Add uid column to user"
grafana  | logger=migrator t=2025-04-11T12:35:48.491507836Z level=info msg="Migration successfully executed" id="Add uid column to user" duration=10.643542ms
grafana  | logger=migrator t=2025-04-11T12:35:48.512357878Z level=info msg="Executing migration" id="Update uid column values for users"
grafana  | logger=migrator t=2025-04-11T12:35:48.512525045Z level=info msg="Migration successfully executed" id="Update uid column values for users" duration=167.959µs
grafana  | logger=migrator t=2025-04-11T12:35:48.513729378Z level=info msg="Executing migration" id="Add unique index user_uid"
grafana  | logger=migrator t=2025-04-11T12:35:48.51415717Z level=info msg="Migration successfully executed" id="Add unique index user_uid" duration=427.708µs
grafana  | logger=migrator t=2025-04-11T12:35:48.515617295Z level=info msg="Executing migration" id="update login field with orgid to allow for multiple service accounts with same name across orgs"
grafana  | logger=migrator t=2025-04-11T12:35:48.515940461Z level=info msg="Migration successfully executed" id="update login field with orgid to allow for multiple service accounts with same name across orgs" duration=323.042µs
grafana  | logger=migrator t=2025-04-11T12:35:48.516994461Z level=info msg="Executing migration" id="update service accounts login field orgid to appear only once"
grafana  | logger=migrator t=2025-04-11T12:35:48.518617086Z level=info msg="Migration successfully executed" id="update service accounts login field orgid to appear only once" duration=1.622042ms
grafana  | logger=migrator t=2025-04-11T12:35:48.526158295Z level=info msg="Executing migration" id="update login and email fields to lowercase"
grafana  | logger=migrator t=2025-04-11T12:35:48.526899336Z level=info msg="Migration successfully executed" id="update login and email fields to lowercase" duration=743.125µs
grafana  | logger=migrator t=2025-04-11T12:35:48.561871378Z level=info msg="Executing migration" id="update login and email fields to lowercase2"
grafana  | logger=migrator t=2025-04-11T12:35:48.56206392Z level=info msg="Migration successfully executed" id="update login and email fields to lowercase2" duration=191.458µs
grafana  | logger=migrator t=2025-04-11T12:35:48.596840211Z level=info msg="Executing migration" id="create temp user table v1-7"
grafana  | logger=migrator t=2025-04-11T12:35:48.607564753Z level=info msg="Migration successfully executed" id="create temp user table v1-7" duration=10.722959ms
grafana  | logger=migrator t=2025-04-11T12:35:48.645990753Z level=info msg="Executing migration" id="create index IDX_temp_user_email - v1-7"
grafana  | logger=migrator t=2025-04-11T12:35:48.661334378Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_email - v1-7" duration=15.342625ms
grafana  | logger=migrator t=2025-04-11T12:35:48.687396045Z level=info msg="Executing migration" id="create index IDX_temp_user_org_id - v1-7"
grafana  | logger=migrator t=2025-04-11T12:35:48.687908545Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_org_id - v1-7" duration=513.667µs
grafana  | logger=migrator t=2025-04-11T12:35:48.689170086Z level=info msg="Executing migration" id="create index IDX_temp_user_code - v1-7"
grafana  | logger=migrator t=2025-04-11T12:35:48.689481378Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_code - v1-7" duration=311.666µs
grafana  | logger=migrator t=2025-04-11T12:35:48.691096503Z level=info msg="Executing migration" id="create index IDX_temp_user_status - v1-7"
grafana  | logger=migrator t=2025-04-11T12:35:48.691380545Z level=info msg="Migration successfully executed" id="create index IDX_temp_user_status - v1-7" duration=284.041µs
grafana  | logger=migrator t=2025-04-11T12:35:48.692372336Z level=info msg="Executing migration" id="Update temp_user table charset"
grafana  | logger=migrator t=2025-04-11T12:35:48.692392295Z level=info msg="Migration successfully executed" id="Update temp_user table charset" duration=20.25µs
grafana  | logger=migrator t=2025-04-11T12:35:48.711836836Z level=info msg="Executing migration" id="drop index IDX_temp_user_email - v1"
grafana  | logger=migrator t=2025-04-11T12:35:48.731224878Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_email - v1" duration=19.387292ms
grafana  | logger=migrator t=2025-04-11T12:35:48.763171336Z level=info msg="Executing migration" id="drop index IDX_temp_user_org_id - v1"
grafana  | logger=migrator t=2025-04-11T12:35:48.790218211Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_org_id - v1" duration=27.045125ms
grafana  | logger=migrator t=2025-04-11T12:35:48.820054295Z level=info msg="Executing migration" id="drop index IDX_temp_user_code - v1"
grafana  | logger=migrator t=2025-04-11T12:35:48.84745117Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_code - v1" duration=27.395125ms
grafana  | logger=migrator t=2025-04-11T12:35:48.877676253Z level=info msg="Executing migration" id="drop index IDX_temp_user_status - v1"
grafana  | logger=migrator t=2025-04-11T12:35:48.905434961Z level=info msg="Migration successfully executed" id="drop index IDX_temp_user_status - v1" duration=27.757667ms
