prometheus  | time=2025-04-11T12:36:42.092Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=4
prometheus  | time=2025-04-11T12:36:44.099Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=34
prometheus  | time=2025-04-11T12:36:45.520Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=6
prometheus  | time=2025-04-11T12:36:46.114Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=34
prometheus  | time=2025-04-11T12:36:48.126Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=12
prometheus  | time=2025-04-11T12:36:50.132Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=12
prometheus  | time=2025-04-11T12:36:52.144Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=12
prometheus  | time=2025-04-11T12:36:54.163Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=34
prometheus  | time=2025-04-11T12:36:55.580Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=37
prometheus  | time=2025-04-11T12:36:56.170Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=12
prometheus  | time=2025-04-11T12:36:58.182Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=12
prometheus  | time=2025-04-11T12:37:00.196Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=12
prometheus  | time=2025-04-11T12:37:02.208Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=34
prometheus  | time=2025-04-11T12:37:04.221Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=34
prometheus  | time=2025-04-11T12:37:05.428Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=30
prometheus  | time=2025-04-11T12:37:06.229Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=12
prometheus  | time=2025-04-11T12:37:08.237Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:37:10.249Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:37:12.060Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:37:14.078Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=36
prometheus  | time=2025-04-11T12:37:15.491Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=51
prometheus  | time=2025-04-11T12:37:16.088Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:37:18.100Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:37:20.104Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:37:22.112Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:37:24.122Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=12
prometheus  | time=2025-04-11T12:37:25.533Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=49
prometheus  | time=2025-04-11T12:37:26.132Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:37:28.149Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=36
prometheus  | time=2025-04-11T12:37:30.161Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=36
prometheus  | time=2025-04-11T12:37:32.176Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=36
prometheus  | time=2025-04-11T12:37:34.183Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:37:35.600Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=53
prometheus  | time=2025-04-11T12:37:36.191Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:37:38.202Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:37:40.216Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=36
prometheus  | time=2025-04-11T12:37:42.234Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:37:44.243Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:37:45.454Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=70
prometheus  | time=2025-04-11T12:37:46.251Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=36
prometheus  | time=2025-04-11T12:37:48.061Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:37:50.069Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:37:52.079Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:37:54.091Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=36
prometheus  | time=2025-04-11T12:37:55.524Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=30
prometheus  | time=2025-04-11T12:37:56.105Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=12
prometheus  | time=2025-04-11T12:37:58.113Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:38:00.120Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:38:02.138Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:38:04.149Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:38:05.563Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=6
prometheus  | time=2025-04-11T12:38:06.156Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=58
prometheus  | time=2025-04-11T12:38:08.174Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:38:10.176Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:38:12.188Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=36
prometheus  | time=2025-04-11T12:38:14.196Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:38:15.409Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=65
prometheus  | time=2025-04-11T12:38:16.206Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:38:18.217Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=36
prometheus  | time=2025-04-11T12:38:20.229Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:38:22.240Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:38:24.245Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:38:25.457Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=65
prometheus  | time=2025-04-11T12:38:26.058Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=36
prometheus  | time=2025-04-11T12:38:28.076Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:38:30.087Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:38:32.167Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:38:34.175Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:38:35.590Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=59
prometheus  | time=2025-04-11T12:38:36.185Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=58
prometheus  | time=2025-04-11T12:38:38.200Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:38:40.203Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=36
prometheus  | time=2025-04-11T12:38:42.211Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=36
prometheus  | time=2025-04-11T12:38:44.221Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
prometheus  | time=2025-04-11T12:38:45.441Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=55
prometheus  | time=2025-04-11T12:38:46.228Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=34
prometheus  | time=2025-04-11T12:38:48.241Z level=WARN source=write_handler.go:289 msg="Error on ingesting out-of-order exemplars" component=web num_dropped=14
